Date;HStart;HEnd;Summary;Location;Groupe;Intervenant
14/11/2024;14:30:00;16:30:00;Prog1 ;B3;1ATP4; SIGURET ARNAUD 
18/11/2024;14:30:00;16:30:00;Archi-Rés1 ;B3;1ATDB; FREITAS ANTONIO 
22/10/2024;11:30:00;13:30:00;Elec1 ;A5bis;1ATDA; CAPALLERA FLORENCE 
23/09/2024;11:30:00;13:30:00;SAE1.01;B6,C5;1ATDB;  
11/10/2024;11:30:00;14:30:00;Init-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
10/12/2024;14:30:00;16:30:00;Anglais1 ;Labo multimédia A109;1ATP4; GORDON NATHALIE 
16/12/2024;12:30:00;14:30:00;SAE1.05;B3;1ATDB; Intervenant à  préciser 
23/10/2024;11:30:00;13:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
17/12/2024;14:30:00;16:30:00;SAE1.04;B7;1ATP3; GIRAUD NADINE 
06/11/2024;12:30:00;14:30:00;Com1 ;B7;1ATP1; GIRAUD NADINE 
14/11/2024;12:30:00;14:30:00;Syst1 ;C5;1ATP2; JACQUET FREDERIQUE 
19/11/2024;12:30:00;14:30:00;Com1 ;B7;1ATP3; GIRAUD NADINE 
23/09/2024;11:30:00;13:30:00;Init-Rés1 ;B3;1ATDA; FREITAS ANTONIO 
14/11/2024;15:00:00;18:00:00;Elec1 ;C1;1ATP1; CAPALLERA FLORENCE 
27/11/2024;09:00:00;11:00:00;SAE1.05;C5;1ATP4; JACQUET FREDERIQUE 
14/11/2024;07:00:00;09:00:00;Anglais1 ;B2;1ATP2; GORDON NATHALIE 
06/11/2024;07:00:00;09:00:00;Syst1 ;C5;1ATP4; JACQUET FREDERIQUE 
24/10/2024;12:30:00;13:30:00;SAE1.01;B8;1ATP3; JACQUET FREDERIQUE 
10/09/2024;09:00:00;10:00:00;Math-Signal1 ;A5-A5bis;1A;COURSIMAULT DAVID 
26/11/2024;12:30:00;14:30:00;Prog1 ;B8;1ATP2; ZAYENE MARIEM 
03/12/2024;07:00:00;09:00:00;Math-Trans1 ;A8;1ATDB;COURSIMAULT DAVID 
14/10/2024;11:30:00;13:30:00;Prog1 ;B6;1ATP3; ZAYENE MARIEM 
19/11/2024;07:00:00;09:00:00;Com1 ;B7;1ATP2; GIRAUD NADINE 
06/11/2024;12:30:00;14:30:00;Math-Signal1 ;A5;1ATDB;COURSIMAULT DAVID 
20/09/2024;08:00:00;10:00:00;SAE1.01;B3;1ATDB; JACQUET FREDERIQUE 
21/10/2024;11:30:00;13:30:00;Prog1 ;B8;1ATP3; ZAYENE MARIEM 
18/12/2024;08:00:00;11:00:00;SAE1.03;C1;1ATP1; CAPALLERA FLORENCE 
09/09/2024;08:00:00;10:00:00;Rentrée BUT1;A5-A5bis;1A;  
10/10/2024;11:30:00;13:30:00;Prog1 ;B3;1ATP3; ZAYENE MARIEM 
16/10/2024;14:30:00;17:30:00;Init-Rés1 ;B8;1ATP1; BROS LAURENT 
13/11/2024;09:00:00;11:00:00;Math-Trans1 ;A5bis;1ATDB;COURSIMAULT DAVID 
04/12/2024;14:30:00;16:30:00;Gest_projet ;B7;1ATDB; MAYET KARINE 
05/12/2024;16:30:00;18:30:00;Soutien math-telecomÂ ;B6;1ATDA;  
10/12/2024;16:30:00;18:30:00;Soutien math-telecomÂ ;B6;1ATDA;  
27/11/2024;08:00:00;11:00:00;Telecom1 ;C1;1ATP3; CAPALLERA FLORENCE 
04/11/2024;10:00:00;11:00:00;Syst1 ;Salle examen MPC003;1A; JACQUET FREDERIQUE 
22/11/2024;12:30:00;15:30:00;Elec1 ;C1;1ATP2; CAPALLERA FLORENCE 
20/11/2024;15:30:00;18:30:00;Init-Rés1 Exam ;C1bis;1ATP1; BROS LAURENT 
03/12/2024;09:00:00;11:00:00;Math-Trans1 ;A5bis;1ATDA;COURSIMAULT DAVID 
25/10/2024;12:30:00;13:30:00;SAE1.01;B8;1ATP1; JACQUET FREDERIQUE 
30/09/2024;13:30:00;14:30:00;Soutien Télécoms;B6,A6;1ATP2; CAPALLERA FLORENCE 
17/09/2024;08:00:00;10:00:00;Math-Signal1 ;A5;1ATDB;COURSIMAULT DAVID 
19/12/2024;07:00:00;09:00:00;Anglais1 ;B2;1ATP2; BEIGNON D AGOSTINO LAURE 
03/10/2024;07:00:00;08:00:00;Soutien Télécoms;B6,A6;1ATP1; CAPALLERA FLORENCE 
17/10/2024;11:30:00;13:30:00;Syst1 ;C5;1ATP2; JACQUET FREDERIQUE 
22/10/2024;13:30:00;14:30:00;SAE1.01;B8;1ATP4; JACQUET FREDERIQUE 
08/11/2024;09:00:00;11:00:00;Math-Signal1 ;A8;1ATDA;COURSIMAULT DAVID 
07/10/2024;11:30:00;13:30:00;SAE1.02;C1bis;1ATP1; FREITAS ANTONIO 
16/12/2024;16:30:00;17:30:00;Soutien info;B3;1ATDA; Intervenant à  préciser 
06/11/2024;15:30:00;18:30:00;Init-Rés1 ;C7;1ATP1; BROS LAURENT 
24/09/2024;13:30:00;15:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
08/11/2024;09:00:00;11:00:00;Syst1 ;C5;1ATP3; JACQUET FREDERIQUE 
03/12/2024;14:30:00;16:30:00;Com1 ;B7;1ATP3; GIRAUD NADINE 
14/10/2024;08:00:00;10:00:00;SAE1.02;B3;1ATDA; HERNANDEZ SEBASTIEN 
12/12/2024;07:00:00;09:00:00;Com1 ;B7;1ATP1; GIRAUD NADINE 
19/11/2024;09:00:00;11:00:00;SAE1.04;B3;1ATDA; Intervenant à  préciser 
01/10/2024;06:00:00;08:00:00;Syst1 ;B3;1ATDA; JACQUET FREDERIQUE 
09/10/2024;06:00:00;08:00:00;Archi-Sys1 ;A5bis;1ATDB; JACQUET JEAN-PAUL 
19/09/2024;11:30:00;13:30:00;Anglais1 ;Labo multimédia A109;1ATDA; BEIGNON D AGOSTINO LAURE 
11/10/2024;11:30:00;14:30:00;Init-Rés1 ;B8;1ATP3; HERNANDEZ SEBASTIEN 
16/10/2024;11:30:00;12:30:00;Soutien Télécoms;C5,A5;1ATP3; CAPALLERA FLORENCE 
19/12/2024;07:00:00;09:00:00;SAE1.04;B7;1ATP1; GIRAUD NADINE 
05/12/2024;07:00:00;09:00:00;Prog1 ;B3;1ATP3; ZAYENE MARIEM 
30/09/2024;08:00:00;10:00:00;Math-Signal1 ;A5bis;1ATDB;COURSIMAULT DAVID 
14/11/2024;12:30:00;14:30:00;Anglais1 ;B2;1ATP4; BEIGNON D AGOSTINO LAURE 
04/12/2024;09:00:00;11:00:00;Archi-Sys1 ;C5;1ATP1; PERRIOT ROMAIN 
22/11/2024;08:00:00;11:00:00;Init-Rés1 Exam ;C1bis;1ATP3; HERNANDEZ SEBASTIEN 
21/11/2024;12:30:00;14:30:00;SAE1.05;B3,A5;1ATDB;  
07/11/2024;12:30:00;14:30:00;Syst1 ;C5;1ATP1; JACQUET FREDERIQUE 
27/11/2024;09:00:00;11:00:00;Archi-Sys1 ;B6;1ATP1; PERRIOT ROMAIN 
11/10/2024;06:30:00;07:30:00;Telecom1 ;Salle examen MPC003;1A; CAPALLERA FLORENCE 
14/10/2024;13:30:00;15:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
27/11/2024;14:30:00;16:30:00;Gest_projet ;B7;1ATDB; MAYET KARINE 
28/11/2024;07:30:00;08:30:00;Elec1 ;Salle examen MPC003;1A; CAPALLERA FLORENCE 
05/11/2024;14:30:00;16:30:00;Prog1 ;C5;1ATP2; ZAYENE MARIEM 
13/11/2024;12:30:00;14:30:00;Prog1 ;B8;1ATP3; ZAYENE MARIEM 
26/11/2024;09:00:00;11:00:00;Com1 ;B7;1ATP4; GIRAUD NADINE 
05/12/2024;12:30:00;14:30:00;SAE1.04;B8,C1bis;1ATDA;  
17/09/2024;13:30:00;15:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
23/09/2024;08:00:00;09:00:00;Init-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
17/09/2024;11:30:00;13:30:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
04/12/2024;08:00:00;11:00:00;Telecom1 ;C1;1ATP3; CAPALLERA FLORENCE 
04/11/2024;07:30:00;08:30:00;Archi-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
17/09/2024;11:30:00;13:30:00;Prog1 ;B6;1ATP3; ZAYENE MARIEM 
25/09/2024;08:00:00;10:00:00;Telecom1 ;A5bis;1ATDB; CAPALLERA FLORENCE 
03/10/2024;11:30:00;13:30:00;Syst1 ;C5;1ATP4; JACQUET FREDERIQUE 
29/11/2024;12:30:00;15:30:00;Archi-Rés1 ;B8;1ATP3; FREITAS ANTONIO 
12/12/2024;14:30:00;16:30:00;Anglais1 ;Labo multimédia A109;1ATP3; GORDON NATHALIE 
05/11/2024;07:00:00;09:00:00;SAE1.05;B3;1ATDB; JACQUET FREDERIQUE 
01/10/2024;11:30:00;13:30:00;SAE1.02;C7;1ATP3; HERNANDEZ SEBASTIEN 
17/12/2024;14:30:00;16:30:00;Prog1 ;B3;1ATP2; ZAYENE MARIEM 
13/11/2024;13:00:00;15:00:00;Syst1 ;C5;1ATP1; JACQUET FREDERIQUE 
06/11/2024;07:00:00;09:00:00;Com1 ;B7;1ATP2; GIRAUD NADINE 
19/11/2024;12:30:00;14:30:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
17/10/2024;13:30:00;15:30:00;Syst1 ;C5;1ATP4; JACQUET FREDERIQUE 
29/11/2024;08:00:00;11:00:00;Archi-Rés1 ;B8;1ATP2; HERNANDEZ SEBASTIEN 
26/09/2024;13:30:00;15:30:00;Anglais1 ;A5;1ATDB; BEIGNON D AGOSTINO LAURE 
15/11/2024;08:00:00;11:00:00;Elec1 ;C1;1ATP4; CAPALLERA FLORENCE 
10/09/2024;06:00:00;07:00:00;Telecom1 ;A5-A5bis;1A; CAPALLERA FLORENCE 
05/11/2024;12:30:00;14:30:00;Com1 ;B7;1ATP3; GIRAUD NADINE 
22/11/2024;12:30:00;14:30:00;SAE1.05;C5;1ATP1; JACQUET FREDERIQUE 
07/11/2024;09:00:00;11:00:00;SAE1.02;B3;1ATDB; FREITAS ANTONIO 
02/10/2024;06:00:00;08:00:00;Archi-Sys1 ;A5bis;1ATDB; JACQUET JEAN-PAUL 
05/11/2024;12:30:00;14:30:00;Anglais1 ;B2;1ATP4; BEIGNON D AGOSTINO LAURE 
05/11/2024;16:30:00;18:30:00;Soutien math-telecom;B3;1ATDA;  
05/12/2024;12:30:00;14:30:00;Math-Trans1 ;A5bis;1ATDB;COURSIMAULT DAVID 
12/12/2024;09:00:00;11:00:00;Com1 ;B7;1ATP4; GIRAUD NADINE 
21/11/2024;12:30:00;14:30:00;SAE1.05;C1bis,B4;1ATDA;  
06/11/2024;12:00:00;15:00:00;Elec1 ;B1bis;1ATP2; CAPALLERA FLORENCE 
20/12/2024;08:00:00;11:00:00;SAE1.03;C1;1ATP2; CAPALLERA FLORENCE 
20/11/2024;14:30:00;16:30:00;Gest_projet ;B7;1ATDB; MAYET KARINE 
19/11/2024;14:30:00;16:30:00;Prog1 ;B8;1ATP2; ZAYENE MARIEM 
12/11/2024;14:30:00;16:30:00;SAE1.03;C5;1ATDA;COURSIMAULT DAVID 
26/09/2024;11:30:00;13:30:00;Anglais1 ;A5;1ATDA; BEIGNON D AGOSTINO LAURE 
04/12/2024;07:00:00;09:00:00;SAE1.04;B2;1ATP2; BEIGNON D AGOSTINO LAURE 
04/11/2024;08:30:00;09:30:00;Archi-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
16/10/2024;06:00:00;07:00:00;Soutien Télécoms;A5,B3;1ATP2; CAPALLERA FLORENCE 
18/12/2024;12:30:00;14:30:00;SAE1.04;B7;1ATP2; GIRAUD NADINE 
14/10/2024;13:30:00;15:30:00;Soutien math-telecom;C5;1ATDA;  
15/10/2024;13:30:00;15:30:00;Anglais1 ;Labo multimédia A109;1ATP1; GORDON NATHALIE 
24/10/2024;13:30:00;14:30:00;Soutien info;B3;1ATDA; ZAYENE MARIEM 
01/10/2024;13:30:00;15:30:00;Prog1 ;C5;1ATP1; SIGURET ARNAUD 
29/11/2024;08:00:00;11:00:00;Telecom1 ;C1;1ATP1; CAPALLERA FLORENCE 
12/11/2024;10:00:00;11:00:00;Math-Trans1 ;A5-A5bis;1A;COURSIMAULT DAVID 
24/09/2024;06:00:00;08:00:00;Syst1 ;B3;1ATDA; JACQUET FREDERIQUE 
02/10/2024;11:30:00;13:30:00;Init-Rés1 ;B3;1ATDA; FREITAS ANTONIO 
04/10/2024;06:00:00;08:00:00;Syst1 ;C5;1ATP1; JACQUET FREDERIQUE 
05/12/2024;14:30:00;16:30:00;Anglais1 ;Labo multimédia A109;1ATP3; GORDON NATHALIE 
06/12/2024;09:00:00;11:00:00;Prog1 ;C5;1ATP1; SIGURET ARNAUD 
13/11/2024;09:00:00;11:00:00;SAE1.05;B3;1ATDA; JACQUET FREDERIQUE 
18/10/2024;11:30:00;14:30:00;Init-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
20/11/2024;09:00:00;11:00:00;Anglais1 ;B2;1ATP4; BEIGNON D AGOSTINO LAURE 
16/12/2024;14:30:00;16:30:00;RLAN1 ;B8;1ATDB; HERNANDEZ SEBASTIEN 
14/11/2024;12:30:00;14:30:00;Prog1 ;B3;1ATP1; SIGURET ARNAUD 
22/11/2024;09:00:00;11:00:00;SAE1.05;C5;1ATP2; JACQUET FREDERIQUE 
02/12/2024;12:30:00;14:30:00;RLAN1 ;B3;1ATDA; FREITAS ANTONIO 
01/10/2024;08:00:00;10:00:00;Syst1 ;B3;1ATDB; JACQUET FREDERIQUE 
21/10/2024;11:30:00;13:30:00;Prog1 ;B6;1ATP4; SIGURET ARNAUD 
15/11/2024;12:30:00;15:30:00;Init-Rés1 ;B8;1ATP3; HERNANDEZ SEBASTIEN 
10/09/2024;13:30:00;15:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
17/12/2024;07:00:00;09:00:00;Math-Trans1 ;A6;1ATDB;COURSIMAULT DAVID 
12/12/2024;12:30:00;14:30:00;Math-Trans1 ;A5bis;1ATDA;COURSIMAULT DAVID 
25/11/2024;07:00:00;09:00:00;Prog1 ;B3;1ATP4; SIGURET ARNAUD 
13/09/2024;11:30:00;13:30:00;Telecom1 ;A5bis;1ATDB; CAPALLERA FLORENCE 
30/09/2024;07:00:00;08:00:00;Elec1 ;A5-A5bis;1A; CAPALLERA FLORENCE 
17/12/2024;12:30:00;14:30:00;SAE1.04;B7;1ATP4; GIRAUD NADINE 
27/09/2024;08:00:00;10:00:00;SAE1.01;B3;1ATDB; JACQUET FREDERIQUE 
18/12/2024;09:00:00;11:00:00;Archi-Sys1 ;B6;1ATP3; PERRIOT ROMAIN 
08/10/2024;13:30:00;15:30:00;Web1 ;B3;1ATDA; ZAYENE MARIEM 
09/10/2024;11:30:00;13:30:00;Elec1 ;A5bis;1ATDA; CAPALLERA FLORENCE 
27/11/2024;12:30:00;14:30:00;Anglais1 ;Labo multimédia A109;1ATP4; GORDON NATHALIE 
24/10/2024;06:00:00;08:00:00;Syst1 ;C5;1ATP1; JACQUET FREDERIQUE 
30/09/2024;08:00:00;10:00:00;Init-Rés1 ;B3;1ATDA; FREITAS ANTONIO 
22/10/2024;06:00:00;07:00:00;Soutien Télécoms;B3,A8;1ATP3; CAPALLERA FLORENCE 
23/10/2024;14:30:00;17:30:00;Init-Rés1 ;B8;1ATP1; BROS LAURENT 
04/12/2024;09:00:00;11:00:00;SAE1.04;B2;1ATP4; BEIGNON D AGOSTINO LAURE 
14/10/2024;08:00:00;10:00:00;Math-Signal1 ;A6;1ATDB;COURSIMAULT DAVID 
22/11/2024;08:00:00;11:00:00;Elec1 ;C1;1ATP1; CAPALLERA FLORENCE 
06/12/2024;12:30:00;15:30:00;Telecom1 ;C1;1ATP1; CAPALLERA FLORENCE 
10/10/2024;06:00:00;08:00:00;Syst1 ;B8;1ATP2; JACQUET FREDERIQUE 
24/10/2024;13:30:00;14:30:00;SAE1.01;B8;1ATP3; JACQUET FREDERIQUE 
17/10/2024;08:00:00;10:00:00;Anglais1 ;B2;1ATP4; BEIGNON D AGOSTINO LAURE 
25/09/2024;14:00:00;17:00:00;Init-Rés1 ;B8;1ATP2; FREITAS ANTONIO 
18/09/2024;11:30:00;13:30:00;Soutien math-telecom;B6;1ATDA;  
04/12/2024;07:00:00;09:00:00;Archi-Sys1 ;C5;1ATP4; PERRIOT ROMAIN 
15/10/2024;06:00:00;08:00:00;Syst1 ;B3;1ATDB; JACQUET FREDERIQUE 
23/09/2024;13:30:00;15:30:00;SAE1.01;C7,B6;1ATDA;  
21/10/2024;08:00:00;10:00:00;Math-Signal1 ;A5;1ATDB;COURSIMAULT DAVID 
26/09/2024;13:30:00;15:30:00;Prog1 ;B6;1ATP1; SIGURET ARNAUD 
13/11/2024;12:00:00;15:00:00;Elec1 ;C1;1ATP2; CAPALLERA FLORENCE 
08/10/2024;08:00:00;10:00:00;Math-Signal1 ;A5;1ATDA;COURSIMAULT DAVID 
20/11/2024;12:30:00;14:30:00;SAE1.02;B3,B6;1ATDB;  
05/12/2024;15:00:00;18:00:00;Elec1 ;C1;1ATP4; CAPALLERA FLORENCE 
24/09/2024;06:00:00;08:00:00;Math-Signal1 ;A5bis;1ATDB;COURSIMAULT DAVID 
19/12/2024;12:30:00;14:30:00;SAE1.05;B8,C7;1ATDB;  
22/10/2024;08:00:00;10:00:00;Syst1 ;C5;1ATP4; JACQUET FREDERIQUE 
30/09/2024;11:30:00;13:30:00;SAE1.01;B7;1ATDA; GIRAUD NADINE 
19/11/2024;07:00:00;09:00:00;SAE1.04;B3;1ATDB; Intervenant à  préciser 
15/11/2024;09:00:00;11:00:00;Syst1 ;C5;1ATP3; JACQUET FREDERIQUE 
20/12/2024;07:00:00;09:00:00;PPP1 ;B7;1ATDB; MAYET KARINE 
25/09/2024;11:30:00;13:30:00;Init-Rés1 ;B8;1ATDA; FREITAS ANTONIO 
17/10/2024;06:00:00;08:00:00;Syst1 ;C5;1ATP1; JACQUET FREDERIQUE 
08/10/2024;06:00:00;08:00:00;Math-Signal1 ;A5bis;1ATDB;COURSIMAULT DAVID 
21/10/2024;13:30:00;15:30:00;Prog1 ;B8;1ATP1; SIGURET ARNAUD 
04/10/2024;11:30:00;13:30:00;Elec1 ;A5bis;1ATDA; CAPALLERA FLORENCE 
03/12/2024;15:00:00;18:00:00;Archi-Rés1 ;C1bis;1ATP2; HERNANDEZ SEBASTIEN 
03/10/2024;06:00:00;08:00:00;Init-Rés1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
26/11/2024;09:00:00;11:00:00;SAE1.04;B3;1ATDA; Intervenant à  préciser 
21/10/2024;15:30:00;16:30:00;Soutien info;C5;1ATDB; Intervenant à  préciser 
11/10/2024;08:00:00;10:00:00;SAE1.02;C1bis;1ATP4; HERNANDEZ SEBASTIEN 
14/11/2024;09:00:00;11:00:00;Web1 ;B3;1ATDA; ZAYENE MARIEM 
08/10/2024;15:30:00;16:30:00;Soutien info;C5;1ATDB; Intervenant à  préciser 
27/11/2024;12:30:00;14:30:00;Archi-Sys1 ;B6;1ATP3; PERRIOT ROMAIN 
06/12/2024;08:00:00;11:00:00;Telecom1 ;C1;1ATP2; CAPALLERA FLORENCE 
13/11/2024;07:00:00;09:00:00;SAE1.05;B3;1ATDB; JACQUET FREDERIQUE 
