Date;HStart;HEnd;Summary;Location;Groupe;Intervenant
22/10/2024;13:30:00;15:30:00;Anglais1 ;Labo multimédia A109;1ATP1; GORDON NATHALIE 
03/12/2024;14:30:00;16:30:00;SAE1.04;B2;1ATP1; BEIGNON D AGOSTINO LAURE 
30/09/2024;13:30:00;15:30:00;SAE1.01;B7;1ATDB; GIRAUD NADINE 
01/10/2024;11:30:00;13:30:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
15/10/2024;11:30:00;13:30:00;Init-Rés1 ;B3;1ATDA; FREITAS ANTONIO 
25/11/2024;16:30:00;17:30:00;Soutien info;B8;1ATDA; Intervenant à  préciser 
19/09/2024;13:30:00;15:30:00;Anglais1 ;Labo multimédia A109;1ATDB; BEIGNON D AGOSTINO LAURE 
22/10/2024;12:30:00;13:30:00;SAE1.01;B8;1ATP4; JACQUET FREDERIQUE 
10/09/2024;11:30:00;13:30:00;Prog1 ;B3;1ATP3; ZAYENE MARIEM 
08/10/2024;13:30:00;15:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
01/10/2024;11:30:00;13:30:00;Com1 ;B7;1ATDA; GIRAUD NADINE 
12/11/2024;14:30:00;16:30:00;Archi-Rés1 ;B8;1ATDB; FREITAS ANTONIO 
10/12/2024;16:30:00;18:30:00;Soutien math-telecom;B4;1ATDB;  
26/11/2024;09:00:00;11:00:00;Anglais1 ;Labo multimédia A109;1ATP3; GORDON NATHALIE 
13/12/2024;08:00:00;11:00:00;Telecom1 ;C1;1ATP1; CAPALLERA FLORENCE 
05/11/2024;12:30:00;14:30:00;SAE1.02;B3;1ATDA; HERNANDEZ SEBASTIEN 
12/12/2024;12:30:00;14:30:00;SAE1.04;C1bis,B4;1ATDB;  
22/11/2024;08:00:00;11:00:00;Init-Rés1 Exam ;C7;1ATP4; FREITAS ANTONIO 
24/09/2024;11:00:00;11:30:00;Présentation WEC;A5-A5bis;2A; 3A 
25/10/2024;13:30:00;14:30:00;SAE1.01;B8;1ATP1; JACQUET FREDERIQUE 
29/11/2024;12:30:00;15:30:00;Telecom1 ;C1;1ATP2; CAPALLERA FLORENCE 
24/10/2024;08:00:00;10:00:00;Anglais1 ;B2;1ATP4; BEIGNON D AGOSTINO LAURE 
29/11/2024;08:00:00;11:00:00;Archi-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
28/11/2024;10:00:00;11:00:00;RLAN1 ;A5-A5bis;1A; FREITAS ANTONIO 
06/12/2024;08:00:00;11:00:00;Archi-Rés1 ;B8;1ATP3; FREITAS ANTONIO 
13/11/2024;15:00:00;18:00:00;Init-Rés1 ;C1bis;1ATP2; FREITAS ANTONIO 
11/12/2024;12:30:00;14:30:00;Archi-Sys1 ;B6;1ATP4; PERRIOT ROMAIN 
15/10/2024;12:30:00;13:30:00;SAE1.01;B7;1ATP4; GIRAUD NADINE 
23/09/2024;09:00:00;10:00:00;Init-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
17/12/2024;09:00:00;11:00:00;SAE1.04;B6,B8;1ATDB;  
25/09/2024;08:00:00;10:00:00;Archi-Sys1 ;A6;1ATDA; JACQUET JEAN-PAUL 
10/12/2024;12:30:00;14:30:00;Prog1 ;B8;1ATP4; SIGURET ARNAUD 
17/12/2024;12:30:00;14:30:00;Anglais1 ;Labo multimédia A109;1ATP3; GORDON NATHALIE 
11/09/2024;08:00:00;10:00:00;Math-Signal1 ;A5bis;1ATDB;COURSIMAULT DAVID 
16/10/2024;11:30:00;12:30:00;SAE1.01;B7;1ATP1; GIRAUD NADINE 
07/11/2024;14:30:00;16:30:00;Anglais1 ;Labo multimédia A109;1ATP1; GORDON NATHALIE 
24/10/2024;06:00:00;08:00:00;Anglais1 ;B2;1ATP2; GORDON NATHALIE 
10/10/2024;08:00:00;10:00:00;Syst1 ;C5;1ATP1; JACQUET FREDERIQUE 
16/09/2024;09:00:00;10:00:00;Elec1 ;A5-A5bis;1A; CAPALLERA FLORENCE 
15/10/2024;11:30:00;12:30:00;SAE1.01;B7;1ATP4; GIRAUD NADINE 
16/10/2024;12:30:00;13:30:00;SAE1.01;B7;1ATP1; GIRAUD NADINE 
17/09/2024;06:00:00;08:00:00;Math-Signal1 ;A5;1ATDA;COURSIMAULT DAVID 
11/10/2024;11:30:00;13:30:00;SAE1.03;A5,B3;1ATDA;  
08/11/2024;08:00:00;11:00:00;Elec1 ;B1bis;1ATP4; CAPALLERA FLORENCE 
27/09/2024;08:00:00;10:00:00;SAE1.02;C1bis;1ATP2; ZAYENE MARIEM 
03/10/2024;13:30:00;15:30:00;Anglais1 ;Labo multimédia A109;1ATDB; BEIGNON D AGOSTINO LAURE 
21/10/2024;06:00:00;08:00:00;Syst1 ;B3;1ATDB; JACQUET FREDERIQUE 
24/09/2024;08:00:00;10:00:00;Math-Signal1 ;A5bis;1ATDA;COURSIMAULT DAVID 
07/10/2024;09:00:00;10:00:00;Math-Signal1 ;A5-A5bis;1A;COURSIMAULT DAVID 
20/11/2024;08:00:00;11:00:00;Elec1 ;C1;1ATP3; CAPALLERA FLORENCE 
09/12/2024;16:30:00;17:30:00;Soutien info;B6;1ATDA; Intervenant à  préciser 
04/10/2024;06:00:00;08:00:00;SAE1.02;C1bis;1ATP4; HERNANDEZ SEBASTIEN 
18/12/2024;07:00:00;09:00:00;Archi-Sys1 ;C5;1ATP4; PERRIOT ROMAIN 
17/09/2024;08:00:00;10:00:00;Syst1 ;B3;1ATDA; JACQUET FREDERIQUE 
02/10/2024;14:30:00;17:30:00;Init-Rés1 ;C7;1ATP1; BROS LAURENT 
03/12/2024;09:00:00;11:00:00;SAE1.03;C1,A6;1ATDB;  
11/12/2024;07:00:00;09:00:00;Archi-Sys1 ;C7;1ATP3; PERRIOT ROMAIN 
25/10/2024;06:00:00;07:00:00;Soutien Télécoms;B6,A6;1ATP1; CAPALLERA FLORENCE 
26/09/2024;08:00:00;10:00:00;Init-Rés1 ;B6;1ATDB; HERNANDEZ SEBASTIEN 
30/09/2024;11:30:00;13:30:00;Init-Rés1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
17/12/2024;14:30:00;16:30:00;Anglais1 ;B2;1ATP1; BEIGNON D AGOSTINO LAURE 
16/10/2024;06:00:00;08:00:00;Archi-Sys1 ;A5bis;1ATDB; JACQUET JEAN-PAUL 
23/10/2024;09:00:00;10:00:00;Archi-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
03/10/2024;11:30:00;13:30:00;Prog1 ;B3;1ATP3; ZAYENE MARIEM 
12/09/2024;11:30:00;12:30:00;SAE1.02;A5-A5bis;1A; HERNANDEZ SEBASTIEN 
04/10/2024;11:30:00;14:30:00;Init-Rés1 ;C1bis;1ATP3; HERNANDEZ SEBASTIEN 
09/10/2024;14:30:00;17:30:00;Init-Rés1 ;B8;1ATP1; BROS LAURENT 
13/12/2024;07:00:00;09:00:00;PPP1 ;B7;1ATDB; MAYET KARINE 
15/11/2024;12:30:00;15:30:00;Init-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
10/12/2024;12:30:00;15:30:00;Telecom1 ;C1;1ATP3; CAPALLERA FLORENCE 
18/09/2024;08:00:00;10:00:00;Prog1 ;B8;1ATP2; ZAYENE MARIEM 
23/09/2024;13:30:00;15:30:00;Init-Rés1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
13/12/2024;12:00:00;14:00:00;Anglais1 ;B2;1ATP1; BEIGNON D AGOSTINO LAURE 
10/12/2024;09:00:00;11:00:00;SAE1.04;B6,B8;1ATDB;  
05/12/2024;07:00:00;09:00:00;Syst1 Exam ;C5;1ATP4; JACQUET FREDERIQUE 
24/09/2024;11:30:00;13:30:00;SAE1.02;C7;1ATP3; HERNANDEZ SEBASTIEN 
18/10/2024;11:30:00;14:30:00;Init-Rés1 ;B8;1ATP3; HERNANDEZ SEBASTIEN 
24/09/2024;11:30:00;13:30:00;Prog1 ;B8;1ATP4; SIGURET ARNAUD 
16/09/2024;10:00:00;10:30:00;Présentation Infirmerie;A5-A5bis;1A;  
15/10/2024;13:30:00;15:30:00;Init-Rés1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
03/12/2024;07:00:00;09:00:00;Com1 ;B7;1ATP1; GIRAUD NADINE 
19/12/2024;12:30:00;14:30:00;Math-Trans1 ;A5bis;1ATDA;COURSIMAULT DAVID 
04/10/2024;08:00:00;10:00:00;SAE1.02;C1bis;1ATP1; FREITAS ANTONIO 
19/11/2024;14:30:00;16:30:00;Math-Trans1 ;A5;1ATDB;COURSIMAULT DAVID 
10/12/2024;07:00:00;08:00:00;Math-Trans1 ;A5-A5bis;1A;COURSIMAULT DAVID 
06/12/2024;09:00:00;11:00:00;Com1 ;B7;1ATP4; GIRAUD NADINE 
12/12/2024;09:00:00;11:00:00;SAE1.04;C5,B3;1ATDA;  
22/10/2024;13:30:00;14:30:00;Soutien Télécoms;A5bis,C5;1ATP2; CAPALLERA FLORENCE 
18/12/2024;07:00:00;09:00:00;Prog1 ;B3;1ATP3; ZAYENE MARIEM 
05/11/2024;14:30:00;16:30:00;Prog1 ;B8;1ATP1; SIGURET ARNAUD 
24/10/2024;11:30:00;13:30:00;Web1 ;B3;1ATDA; ZAYENE MARIEM 
08/10/2024;06:00:00;08:00:00;Syst1 ;B3;1ATDA; JACQUET FREDERIQUE 
26/09/2024;08:00:00;10:00:00;Telecom1 ;A5;1ATDA; CAPALLERA FLORENCE 
17/12/2024;14:30:00;16:30:00;Anglais1 ;Labo multimédia A109;1ATP4; GORDON NATHALIE 
25/10/2024;11:30:00;14:30:00;Init-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
03/10/2024;11:30:00;13:30:00;Anglais1 ;Labo multimédia A109;1ATDA; BEIGNON D AGOSTINO LAURE 
17/12/2024;16:30:00;18:30:00;Soutien math-telecom;B3;1ATDA;  
15/11/2024;07:00:00;09:00:00;Anglais1 ;B2;1ATP1; GORDON NATHALIE 
17/09/2024;06:00:00;08:00:00;Syst1 ;B3;1ATDB; JACQUET FREDERIQUE 
12/12/2024;08:00:00;11:00:00;Archi-Rés1 ;C1bis;1ATP3; FREITAS ANTONIO 
06/11/2024;16:00:00;18:00:00;Soutien math-telecom;C5;1ATDB;  
25/11/2024;14:30:00;16:30:00;Archi-Rés1 ;B3;1ATDB; FREITAS ANTONIO 
10/09/2024;11:30:00;13:30:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
26/11/2024;14:30:00;16:30:00;Com1 ;B7;1ATP1; GIRAUD NADINE 
02/12/2024;16:30:00;17:30:00;Soutien info;C5;1ATDA; Intervenant à  préciser 
12/12/2024;14:30:00;16:30:00;Com1 ;B7;1ATP2; GIRAUD NADINE 
19/12/2024;14:30:00;16:30:00;SAE1.05;C7,C5;1ATDA;  
17/09/2024;11:30:00;13:30:00;Com1 ;B7;1ATDA; GIRAUD NADINE 
14/10/2024;15:30:00;16:30:00;Soutien info;B8;1ATDB; Intervenant à  préciser 
08/11/2024;07:00:00;09:00:00;Web1 ;B3;1ATDA; ZAYENE MARIEM 
14/11/2024;09:00:00;11:00:00;Anglais1 ;B2;1ATP3; BEIGNON D AGOSTINO LAURE 
02/12/2024;12:30:00;14:30:00;SAE1.02;B6,B8;1ATDB;  
02/10/2024;08:00:00;10:00:00;Archi-Sys1 ;A5bis;1ATDA; JACQUET JEAN-PAUL 
21/10/2024;13:30:00;15:30:00;Elec1 ;A5bis;1ATDB; CAPALLERA FLORENCE 
11/10/2024;08:00:00;10:00:00;Syst1 ;C5;1ATP3; JACQUET FREDERIQUE 
29/11/2024;09:00:00;11:00:00;SAE1.05;C5;1ATP3; JACQUET FREDERIQUE 
12/11/2024;08:00:00;09:00:00;Archi-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
20/09/2024;06:00:00;08:00:00;SAE1.01;B3;1ATDA; JACQUET FREDERIQUE 
19/12/2024;08:00:00;11:00:00;SAE1.03;C1;1ATP3; CAPALLERA FLORENCE 
22/10/2024;08:00:00;10:00:00;Math-Signal1 ;A5;1ATDA;COURSIMAULT DAVID 
06/12/2024;07:00:00;09:00:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
18/10/2024;11:30:00;13:30:00;Elec1 ;B3;1ATDA; CAPALLERA FLORENCE 
14/10/2024;06:00:00;08:00:00;Prog1 ;C5;1ATP1; SIGURET ARNAUD 
10/12/2024;08:00:00;09:00:00;Math-Trans1 ;A5-A5bis;1A;COURSIMAULT DAVID 
28/11/2024;14:30:00;16:30:00;Com1 ;B7;1ATP2; GIRAUD NADINE 
24/09/2024;11:30:00;13:30:00;Com1 ;B7;1ATDA; GIRAUD NADINE 
26/11/2024;07:00:00;09:00:00;SAE1.04;B3;1ATDB; Intervenant à  préciser 
10/10/2024;11:30:00;13:30:00;Syst1 ;C5;1ATP4; JACQUET FREDERIQUE 
13/12/2024;12:30:00;15:30:00;Telecom1 ;C1;1ATP4; CAPALLERA FLORENCE 
10/10/2024;08:00:00;10:00:00;Math-Signal1 ;B3;1ATDB;COURSIMAULT DAVID 
28/11/2024;08:30:00;09:00:00;Elec1 ;Salle examen MPC003;1A; CAPALLERA FLORENCE 
16/12/2024;09:00:00;11:00:00;Math-Trans1 ;A8;1ATDA;COURSIMAULT DAVID 
27/11/2024;07:00:00;09:00:00;Syst1 Exam ;C5;1ATP2; JACQUET FREDERIQUE 
11/12/2024;09:00:00;11:00:00;Archi-Sys1 ;C7;1ATP1; PERRIOT ROMAIN 
06/11/2024;15:00:00;18:00:00;Init-Rés1 ;B8;1ATP2; FREITAS ANTONIO 
21/11/2024;09:00:00;11:00:00;SAE1.05;B3;1ATDB; JACQUET FREDERIQUE 
27/11/2024;16:30:00;17:30:00;Soutien info;C5;1ATDB; Intervenant à  préciser 
04/12/2024;15:30:00;18:30:00;Archi-Rés1 ;B8;1ATP1; BROS LAURENT 
17/10/2024;14:30:00;15:30:00;SAE1.01;B7;1ATP3; GIRAUD NADINE 
18/12/2024;14:30:00;16:30:00;Archi-Sys1 ;B6;1ATP2; PERRIOT ROMAIN 
03/10/2024;08:00:00;10:00:00;Syst1 ;C5;1ATP3; JACQUET FREDERIQUE 
10/12/2024;14:30:00;16:30:00;Prog1 ;B8;1ATP2; ZAYENE MARIEM 
16/09/2024;11:30:00;13:30:00;Init-Rés1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
19/11/2024;09:00:00;11:00:00;Com1 ;B7;1ATP4; GIRAUD NADINE 
23/09/2024;07:00:00;08:00:00;Elec1 ;A5-A5bis;1A; CAPALLERA FLORENCE 
18/09/2024;08:00:00;10:00:00;Prog1 ;B6;1ATP1; SIGURET ARNAUD 
19/09/2024;08:00:00;10:00:00;Telecom1 ;A5bis;1ATDB; CAPALLERA FLORENCE 
17/10/2024;08:00:00;10:00:00;Syst1 ;C5;1ATP3; JACQUET FREDERIQUE 
26/11/2024;12:30:00;14:30:00;Com1 ;B7;1ATP3; GIRAUD NADINE 
03/10/2024;08:00:00;10:00:00;SAE1.01;B3,A6;1ATDA;  
23/10/2024;13:30:00;15:30:00;SAE1.03;B3;1ATDB; CAPALLERA FLORENCE 
11/09/2024;08:00:00;10:00:00;PPP1 ;B7;1ATDA; GIRAUD NADINE 
12/09/2024;12:30:00;13:30:00;SAE1.02;A5-A5bis;1A; HERNANDEZ SEBASTIEN 
02/10/2024;08:00:00;10:00:00;SAE1.01;C1bis,B8;1ATDB;  
05/11/2024;09:00:00;11:00:00;Elec1 ;A5;1ATDB; CAPALLERA FLORENCE 
25/09/2024;14:30:00;17:30:00;Init-Rés1 ;C7;1ATP1; BROS LAURENT 
18/11/2024;12:30:00;14:30:00;Math-Trans1 ;A5bis;1ATDB;COURSIMAULT DAVID 
02/12/2024;10:00:00;11:00:00;RLAN1 ;A5-A5bis;1A; FREITAS ANTONIO 
19/11/2024;09:00:00;11:00:00;Anglais1 ;B2;1ATP3; BEIGNON D AGOSTINO LAURE 
17/10/2024;08:00:00;10:00:00;Web1 ;B3;1ATDA; ZAYENE MARIEM 
03/10/2024;08:00:00;10:00:00;SAE1.02;C1bis;1ATP4; HERNANDEZ SEBASTIEN 
11/12/2024;12:30:00;14:30:00;Prog1 ;B8;1ATP3; ZAYENE MARIEM 
27/09/2024;06:00:00;08:00:00;Soutien math-telecom;B6;1ATDB;  
07/10/2024;11:30:00;13:30:00;SAE1.01;B7;1ATDB; GIRAUD NADINE 
19/09/2024;13:30:00;15:30:00;Math-Signal1 ;A5;1ATDA;COURSIMAULT DAVID 
16/10/2024;13:30:00;15:30:00;Soutien math-telecom;A5;1ATDB;  
16/12/2024;16:30:00;17:30:00;Soutien info;B6;1ATDB; ZAYENE MARIEM 
26/09/2024;06:00:00;07:00:00;Soutien Télécoms;B6,A6;1ATP4; CAPALLERA FLORENCE 
20/11/2024;15:00:00;18:00:00;Init-Rés1 Exam ;C7;1ATP2; FREITAS ANTONIO 
03/12/2024;12:30:00;14:30:00;SAE1.04;B2;1ATP3; BEIGNON D AGOSTINO LAURE 
10/10/2024;13:30:00;15:30:00;Anglais1 ;A5;1ATDB; BEIGNON D AGOSTINO LAURE 
19/11/2024;07:00:00;09:00:00;Anglais1 ;Labo multimédia A109;1ATP1; GORDON NATHALIE 
18/12/2024;08:00:00;11:00:00;Archi-Rés1 ;C7;1ATP2; HERNANDEZ SEBASTIEN 
17/12/2024;12:30:00;14:30:00;Anglais1 ;B2;1ATP2; BEIGNON D AGOSTINO LAURE 
13/12/2024;08:00:00;11:00:00;Archi-Rés1 ;C7;1ATP2; HERNANDEZ SEBASTIEN 
20/09/2024;08:00:00;10:00:00;Telecom1 ;A5;1ATDA; CAPALLERA FLORENCE 
18/09/2024;11:30:00;13:30:00;PPP1 ;B7;1ATDB; MAYET KARINE 
10/12/2024;14:30:00;16:30:00;Prog1 ;B6;1ATP1; SIGURET ARNAUD 
17/12/2024;07:00:00;09:00:00;SAE1.02;B3;1ATDA; HERNANDEZ SEBASTIEN 
08/11/2024;12:30:00;15:30:00;Init-Rés1 ;B8;1ATP3; HERNANDEZ SEBASTIEN 
04/12/2024;16:30:00;17:30:00;Soutien info;B6;1ATDB; ZAYENE MARIEM 
26/11/2024;07:00:00;09:00:00;SAE1.02;B8;1ATDA; HERNANDEZ SEBASTIEN 
13/09/2024;09:00:00;10:00:00;Elec1 ;A5-A5bis;1A; CAPALLERA FLORENCE 
25/10/2024;11:30:00;14:30:00;Init-Rés1 ;C7;1ATP3; HERNANDEZ SEBASTIEN 
10/10/2024;11:30:00;13:30:00;Anglais1 ;A5;1ATDA; BEIGNON D AGOSTINO LAURE 
21/10/2024;08:00:00;10:00:00;Syst1 ;B3;1ATDA; JACQUET FREDERIQUE 
04/12/2024;09:00:00;11:00:00;Prog1 ;B3;1ATP2; ZAYENE MARIEM 
26/11/2024;12:30:00;15:30:00;Telecom1 ;C1;1ATP4; CAPALLERA FLORENCE 
12/09/2024;08:00:00;10:00:00;Syst1 ;B3;1ATDA; JACQUET FREDERIQUE 
27/09/2024;11:30:00;14:30:00;Init-Rés1 ;B8;1ATP4; FREITAS ANTONIO 
15/10/2024;14:30:00;15:30:00;SAE1.01;B7;1ATP2; GIRAUD NADINE 
10/09/2024;07:00:00;08:00:00;Init-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
10/09/2024;13:30:00;15:30:00;Prog1 ;C5;1ATP1; SIGURET ARNAUD 
16/09/2024;11:30:00;13:30:00;PPP1 ;B7;1ATDA; GIRAUD NADINE 
21/10/2024;11:30:00;13:30:00;SAE1.03;B3;1ATDA;COURSIMAULT DAVID 
06/11/2024;10:00:00;11:00:00;SAE1.04;A5-A5bis;1A; GIRAUD NADINE 
