Date;HStart;HEnd;Summary;Location;Groupe;Intervenant
21/11/2024;07:00:00;09:00:00;SAE1.05;B3;1ATDA; JACQUET FREDERIQUE 
12/09/2024;06:00:00;08:00:00;Syst1 ;B3;1ATDB; JACQUET FREDERIQUE 
23/10/2024;14:00:00;17:00:00;Init-Rés1 ;C1bis;1ATP2; FREITAS ANTONIO 
14/11/2024;09:00:00;11:00:00;Syst1 ;C5;1ATP4; JACQUET FREDERIQUE 
04/11/2024;14:30:00;16:30:00;Anglais1 ;Labo multimédia A109;1ATP2; GORDON NATHALIE 
08/11/2024;12:30:00;15:30:00;Init-Rés1 ;C7;1ATP4; FREITAS ANTONIO 
19/12/2024;08:00:00;11:00:00;Archi-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
18/11/2024;14:30:00;16:30:00;Math-Trans1 ;A5bis;1ATDA;COURSIMAULT DAVID 
26/09/2024;11:30:00;13:30:00;Prog1 ;B1bis;1ATP3; ZAYENE MARIEM 
09/10/2024;11:30:00;13:30:00;Soutien math-telecom;A5;1ATDB;  
27/11/2024;15:30:00;18:30:00;Archi-Rés1 ;C1bis;1ATP1; BROS LAURENT 
11/12/2024;14:30:00;16:30:00;Archi-Sys1 ;C5;1ATP2; PERRIOT ROMAIN 
21/10/2024;13:30:00;15:30:00;Prog1 ;B3;1ATP2; ZAYENE MARIEM 
01/10/2024;13:30:00;15:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
04/10/2024;08:00:00;10:00:00;Elec1 ;A5;1ATDB; CAPALLERA FLORENCE 
23/10/2024;11:30:00;13:30:00;SAE1.02;C5,C1bis;1ATDA;  
18/11/2024;12:30:00;14:30:00;Archi-Rés1 ;B3;1ATDA; HERNANDEZ SEBASTIEN 
09/12/2024;12:30:00;14:30:00;RLAN1 ;B3;1ATDA; FREITAS ANTONIO 
10/12/2024;09:00:00;11:00:00;PPP1 ;B7;1ATDA; GIRAUD NADINE 
27/09/2024;08:00:00;10:00:00;SAE1.02;B8;1ATP1; FREITAS ANTONIO 
12/11/2024;12:30:00;14:30:00;Archi-Rés1 ;B8;1ATDA; HERNANDEZ SEBASTIEN 
16/10/2024;12:30:00;13:30:00;Soutien Télécoms;A5,C5;1ATP4; CAPALLERA FLORENCE 
29/11/2024;07:00:00;09:00:00;Prog1 ;C5;1ATP3; ZAYENE MARIEM 
11/12/2024;15:30:00;18:30:00;Archi-Rés1 ;C1bis;1ATP1; BROS LAURENT 
28/11/2024;14:30:00;16:30:00;SAE1.02;B3;1ATDB; FREITAS ANTONIO 
10/09/2024;08:00:00;09:00:00;Init-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
25/10/2024;11:30:00;12:30:00;SAE1.01;B8;1ATP1; JACQUET FREDERIQUE 
16/10/2024;07:00:00;08:00:00;Soutien Télécoms;B3,A6;1ATP1; CAPALLERA FLORENCE 
25/11/2024;12:30:00;14:30:00;Archi-Rés1 ;B3;1ATDA; HERNANDEZ SEBASTIEN 
11/10/2024;08:00:00;10:00:00;Math-Signal1 ;B3;1ATDA;COURSIMAULT DAVID 
20/11/2024;09:00:00;11:00:00;SAE1.02;B3,B6;1ATDA;  
25/10/2024;11:30:00;14:30:00;Elec1 ;B1bis;1ATP2; CAPALLERA FLORENCE 
08/10/2024;11:30:00;13:30:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
17/10/2024;13:30:00;14:30:00;SAE1.01;B7;1ATP3; GIRAUD NADINE 
24/09/2024;13:30:00;15:30:00;Soutien math-telecom;B4;1ATDA;  
04/12/2024;14:30:00;16:30:00;Archi-Sys1 ;C5;1ATP2; PERRIOT ROMAIN 
20/09/2024;12:30:00;13:30:00;SAE1.02;A5-A5bis;1A; HERNANDEZ SEBASTIEN 
04/10/2024;08:00:00;10:00:00;Syst1 ;C5;1ATP2; JACQUET FREDERIQUE 
27/11/2024;07:00:00;09:00:00;Archi-Sys1 ;C7;1ATP4; PERRIOT ROMAIN 
16/10/2024;14:00:00;17:00:00;Init-Rés1 ;C1bis;1ATP2; FREITAS ANTONIO 
28/11/2024;12:30:00;14:30:00;Prog1 ;C5;1ATP1; SIGURET ARNAUD 
27/09/2024;11:30:00;14:30:00;Init-Rés1 ;C1bis;1ATP3; HERNANDEZ SEBASTIEN 
06/11/2024;09:00:00;10:00:00;SAE1.04;A5-A5bis;1A; GIRAUD NADINE 
08/10/2024;11:30:00;13:30:00;Com1 ;B7;1ATDA; GIRAUD NADINE 
16/12/2024;14:30:00;16:30:00;SAE1.05;B3;1ATDA; Intervenant à  préciser 
21/11/2024;09:00:00;11:00:00;Web1 ;TDA;1ATDA; ZAYENE MARIEM 
20/09/2024;11:30:00;12:30:00;SAE1.02;A5-A5bis;1A; HERNANDEZ SEBASTIEN 
26/09/2024;13:30:00;15:30:00;Prog1 ;B1bis;1ATP2; ZAYENE MARIEM 
26/09/2024;07:00:00;08:00:00;Soutien Télécoms;B6,A5;1ATP3; CAPALLERA FLORENCE 
17/10/2024;06:00:00;08:00:00;Web1 ;B3;1ATDB; MEISSONNIER HUGO 
25/10/2024;08:00:00;10:00:00;SAE1.02;B6,B4;1ATDB;  
05/11/2024;09:00:00;11:00:00;SAE1.05;B3;1ATDA; JACQUET FREDERIQUE 
14/11/2024;12:00:00;15:00:00;Elec1 ;C1;1ATP3; CAPALLERA FLORENCE 
17/12/2024;12:30:00;14:30:00;Prog1 ;C5;1ATP1; SIGURET ARNAUD 
15/10/2024;08:00:00;10:00:00;Syst1 ;B3;1ATDA; JACQUET FREDERIQUE 
17/12/2024;16:30:00;18:30:00;Soutien math-telecom;A5bis;1ATDB;  
11/12/2024;12:30:00;14:30:00;Gest_projet ;A5;1ATDA; MAYET KARINE 
07/10/2024;11:30:00;13:30:00;SAE1.02;B8;1ATP2; ZAYENE MARIEM 
08/10/2024;15:30:00;16:30:00;Soutien info;B3;1ATDA; ZAYENE MARIEM 
19/09/2024;06:00:00;08:00:00;Init-Rés1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
01/10/2024;06:00:00;08:00:00;Soutien math-telecom;A6;1ATDB;  
16/10/2024;11:30:00;13:30:00;Prog1 ;B6;1ATP2; ZAYENE MARIEM 
22/10/2024;14:30:00;15:30:00;Soutien Télécoms;B8,A8;1ATP4; CAPALLERA FLORENCE 
05/11/2024;14:30:00;16:30:00;Com1 ;B7;1ATP4; GIRAUD NADINE 
16/10/2024;08:00:00;10:00:00;Archi-Sys1 ;A5bis;1ATDA; JACQUET JEAN-PAUL 
03/12/2024;12:30:00;14:30:00;SAE1.03;A8,B8;1ATDA;  
10/10/2024;14:00:00;16:00:00;Soutien math-telecom;C5;1ATDA;  
22/10/2024;07:00:00;10:00:00;Elec1 ;B1bis;1ATP3; CAPALLERA FLORENCE 
05/12/2024;07:00:00;09:00:00;Com1 ;B7;1ATP2; GIRAUD NADINE 
22/10/2024;11:30:00;12:30:00;SAE1.01;B8;1ATP4; JACQUET FREDERIQUE 
10/10/2024;06:00:00;08:00:00;Web1 ;B3;1ATDB; MEISSONNIER HUGO 
14/10/2024;11:30:00;13:30:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
18/12/2024;12:30:00;14:30:00;Archi-Sys1 ;C1bis;1ATP1; PERRIOT ROMAIN 
10/12/2024;12:30:00;14:30:00;SAE1.04;B4,B3;1ATDA;  
02/12/2024;14:30:00;16:30:00;RLAN1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
07/11/2024;09:00:00;11:00:00;Syst1 ;C5;1ATP2; JACQUET FREDERIQUE 
27/11/2024;09:00:00;11:00:00;Anglais1 ;B2;1ATP2; BEIGNON D AGOSTINO LAURE 
11/12/2024;08:00:00;11:00:00;Archi-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
07/11/2024;12:30:00;15:30:00;Elec1 ;B1bis;1ATP3; CAPALLERA FLORENCE 
19/09/2024;11:30:00;13:30:00;Math-Signal1 ;A5;1ATDB;COURSIMAULT DAVID 
08/10/2024;08:00:00;10:00:00;Syst1 ;B3;1ATDB; JACQUET FREDERIQUE 
05/12/2024;14:30:00;16:30:00;Com1 ;B7;1ATP1; GIRAUD NADINE 
04/11/2024;14:30:00;16:30:00;Math-Signal1 ;B3;1ATDB;COURSIMAULT DAVID 
04/11/2024;12:30:00;14:30:00;Prog1 ;B3;1ATP4; SIGURET ARNAUD 
09/10/2024;14:00:00;17:00:00;Init-Rés1 ;C7;1ATP2; FREITAS ANTONIO 
15/10/2024;15:30:00;16:30:00;Soutien info;C5;1ATDA; ZAYENE MARIEM 
18/12/2024;12:30:00;15:30:00;Archi-Rés1 ;C7;1ATP3; FREITAS ANTONIO 
16/12/2024;12:30:00;14:30:00;RLAN1 ;B8;1ATDA; FREITAS ANTONIO 
11/09/2024;07:00:00;08:00:00;Math-Signal1 ;A5-A5bis;1A;COURSIMAULT DAVID 
12/12/2024;14:30:00;16:30:00;Anglais1 ;B2;1ATP1; BEIGNON D AGOSTINO LAURE 
04/10/2024;11:30:00;14:30:00;Init-Rés1 ;B8;1ATP4; FREITAS ANTONIO 
28/11/2024;14:30:00;16:30:00;Anglais1 ;B2;1ATP1; BEIGNON D AGOSTINO LAURE 
26/11/2024;12:30:00;14:30:00;Syst1 Exam ;C5;1ATP1; JACQUET FREDERIQUE 
07/10/2024;08:00:00;09:00:00;Math-Signal1 ;A5-A5bis;1A;COURSIMAULT DAVID 
09/12/2024;09:00:00;10:00:00;RLAN1 ;A5-A5bis;1A; FREITAS ANTONIO 
22/10/2024;06:00:00;08:00:00;Syst1 ;C5;1ATP2; JACQUET FREDERIQUE 
18/12/2024;15:30:00;18:30:00;Archi-Rés1 ;C1bis;1ATP1; BROS LAURENT 
11/12/2024;09:00:00;11:00:00;Com1 ;B7;1ATP3; GIRAUD NADINE 
24/10/2024;08:00:00;10:00:00;Com1 ;B7;1ATDA; GIRAUD NADINE 
03/10/2024;13:30:00;15:30:00;Soutien math-telecom;A6;1ATDA;  
18/10/2024;06:00:00;08:00:00;SAE1.03;B3;1ATDA;COURSIMAULT DAVID 
09/10/2024;08:00:00;10:00:00;SAE1.03;B3,A5;1ATDB;  
23/10/2024;08:30:00;09:00:00;Présentation MCCC;A5-A5bis;1A; TOUSSAINT JOEL 
19/11/2024;14:30:00;16:30:00;Prog1 ;C5;1ATP1; SIGURET ARNAUD 
14/10/2024;11:30:00;13:30:00;Com1 ;B7;1ATDA; GIRAUD NADINE 
11/09/2024;11:30:00;13:30:00;PPP1 ;B7;1ATDB; MAYET KARINE 
12/09/2024;06:00:00;08:00:00;Math-Signal1 ;A5;1ATDA;COURSIMAULT DAVID 
19/11/2024;12:30:00;14:30:00;Math-Trans1 ;A5;1ATDA;COURSIMAULT DAVID 
18/09/2024;06:00:00;08:00:00;Archi-Sys1 ;A5bis;1ATDA; JACQUET JEAN-PAUL 
25/10/2024;08:00:00;09:00:00;SAE1.01;B8;1ATP2; JACQUET FREDERIQUE 
15/11/2024;12:30:00;14:30:00;Prog1 ;C5;1ATP2; ZAYENE MARIEM 
07/11/2024;08:00:00;11:00:00;Elec1 ;B1bis;1ATP1; CAPALLERA FLORENCE 
18/09/2024;08:00:00;10:00:00;Archi-Sys1 ;A5bis;1ATDB; JACQUET JEAN-PAUL 
25/10/2024;07:00:00;08:00:00;SAE1.01;B8;1ATP2; JACQUET FREDERIQUE 
15/10/2024;13:30:00;14:30:00;SAE1.01;B7;1ATP2; GIRAUD NADINE 
18/12/2024;09:00:00;11:00:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
08/11/2024;07:00:00;09:00:00;Anglais1 ;B2;1ATP3; BEIGNON D AGOSTINO LAURE 
09/12/2024;12:30:00;14:30:00;SAE1.02;B6,B8;1ATDB;  
25/10/2024;09:00:00;10:00:00;SAE1.01;B8;1ATP2; JACQUET FREDERIQUE 
18/10/2024;08:00:00;10:00:00;SAE1.03;B6,C5;1ATDB;  
27/11/2024;12:30:00;14:30:00;Gest_projet ;B7;1ATDA; MAYET KARINE 
01/10/2024;08:00:00;10:00:00;Math-Signal1 ;A5bis;1ATDA;COURSIMAULT DAVID 
02/12/2024;16:30:00;18:30:00;Soutien math-telecom;B3;1ATDB;  
07/10/2024;13:30:00;15:30:00;Elec1 ;A5;1ATDB; CAPALLERA FLORENCE 
06/12/2024;12:30:00;15:30:00;Archi-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
02/10/2024;14:00:00;17:00:00;Init-Rés1 ;B8;1ATP2; FREITAS ANTONIO 
10/09/2024;13:30:00;15:30:00;Prog1 ;B3;1ATP2; ZAYENE MARIEM 
10/09/2024;11:30:00;13:30:00;Com1 ;B7;1ATDA; GIRAUD NADINE 
08/10/2024;11:30:00;13:30:00;SAE1.02;C1bis;1ATP3; HERNANDEZ SEBASTIEN 
26/11/2024;14:30:00;16:30:00;Prog1 ;B8;1ATP3; ZAYENE MARIEM 
17/10/2024;13:30:00;15:30:00;Anglais1 ;Labo multimédia A109;1ATP2; GORDON NATHALIE 
24/10/2024;11:30:00;12:30:00;SAE1.01;B8;1ATP3; JACQUET FREDERIQUE 
25/11/2024;12:30:00;14:30:00;Math-Trans1 ;A6;1ATDB;COURSIMAULT DAVID 
04/11/2024;12:30:00;14:30:00;Math-Signal1 ;A5;1ATDA;COURSIMAULT DAVID 
11/12/2024;08:00:00;11:00:00;Telecom1 ;C1;1ATP2; CAPALLERA FLORENCE 
04/10/2024;06:00:00;08:00:00;Prog1 ;B3;1ATP2; ZAYENE MARIEM 
13/09/2024;08:00:00;09:00:00;SAE1.01;A5-A5bis;1A; JACQUET FREDERIQUE 
16/09/2024;08:00:00;09:00:00;Init-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
27/11/2024;14:30:00;16:30:00;Archi-Sys1 ;B6;1ATP2; PERRIOT ROMAIN 
24/10/2024;06:00:00;08:00:00;Web1 ;B3;1ATDB; MEISSONNIER HUGO 
10/10/2024;08:00:00;10:00:00;Prog1 ;B6;1ATP2; ZAYENE MARIEM 
24/10/2024;11:30:00;14:30:00;Elec1 ;B1bis;1ATP4; CAPALLERA FLORENCE 
21/11/2024;07:00:00;09:00:00;Web1 ;TDB;1ATDB; MEISSONNIER HUGO 
06/12/2024;12:30:00;14:30:00;Syst1 Exam ;C5;1ATP3; JACQUET FREDERIQUE 
10/10/2024;06:00:00;08:00:00;Prog1 ;C5;1ATP1; SIGURET ARNAUD 
24/09/2024;08:00:00;10:00:00;Syst1 ;B3;1ATDB; JACQUET FREDERIQUE 
09/12/2024;14:30:00;16:30:00;RLAN1 ;B3;1ATDB; HERNANDEZ SEBASTIEN 
05/12/2024;09:00:00;11:00:00;SAE1.04;B4,B8;1ATDB;  
15/11/2024;09:00:00;11:00:00;Math-Trans1 ;A5bis;1ATDA;COURSIMAULT DAVID 
02/12/2024;14:30:00;16:30:00;SAE1.02;B8,B4;1ATDA;  
19/09/2024;08:00:00;10:00:00;Init-Rés1 ;B3;1ATDA; FREITAS ANTONIO 
13/12/2024;09:00:00;11:00:00;Math-Trans1 ;A5bis;1ATDB;COURSIMAULT DAVID 
15/10/2024;08:00:00;10:00:00;Elec1 ;A5;1ATDB; CAPALLERA FLORENCE 
12/11/2024;12:30:00;14:30:00;SAE1.03;B3;1ATDB; CAPALLERA FLORENCE 
22/10/2024;11:30:00;13:30:00;Anglais1 ;B2;1ATP3; BEIGNON D AGOSTINO LAURE 
05/11/2024;07:00:00;09:00:00;Elec1 ;A8;1ATDA; CAPALLERA FLORENCE 
16/09/2024;07:00:00;08:00:00;Init-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
14/11/2024;07:00:00;09:00:00;Web1 ;B3;1ATDB; MEISSONNIER HUGO 
16/09/2024;13:30:00;15:30:00;Init-Rés1 ;B3;1ATDA; FREITAS ANTONIO 
25/09/2024;06:00:00;08:00:00;Archi-Sys1 ;A5;1ATDB; JACQUET JEAN-PAUL 
04/12/2024;12:30:00;14:30:00;Gest_projet ;B7;1ATDA; MAYET KARINE 
09/12/2024;16:30:00;17:30:00;Soutien info;C5;1ATDB; ZAYENE MARIEM 
16/12/2024;09:00:00;11:00:00;SAE1.02;B3;1ATDB; FREITAS ANTONIO 
24/10/2024;08:00:00;10:00:00;Syst1 ;C5;1ATP3; JACQUET FREDERIQUE 
18/12/2024;12:30:00;15:30:00;SAE1.03;C1;1ATP4; CAPALLERA FLORENCE 
27/09/2024;06:00:00;08:00:00;SAE1.01;B3;1ATDA; JACQUET FREDERIQUE 
28/11/2024;09:00:00;10:00:00;RLAN1 ;A5-A5bis;1A; FREITAS ANTONIO 
09/12/2024;14:30:00;16:30:00;SAE1.02;B8,B6;1ATDA;  
13/11/2024;15:30:00;18:30:00;Init-Rés1 ;C7;1ATP1; BROS LAURENT 
18/09/2024;13:30:00;15:30:00;Soutien math-telecom;B6;1ATDB;  
17/12/2024;09:00:00;11:00:00;PPP1 ;B7;1ATDA; GIRAUD NADINE 
04/12/2024;12:30:00;14:30:00;Archi-Sys1 ;B8;1ATP3; PERRIOT ROMAIN 
13/09/2024;07:00:00;08:00:00;SAE1.01;A5-A5bis;1A; JACQUET FREDERIQUE 
12/11/2024;09:00:00;10:00:00;Math-Trans1 ;A5-A5bis;1A;COURSIMAULT DAVID 
16/10/2024;08:00:00;10:00:00;SAE1.03;B3;1ATDB; CAPALLERA FLORENCE 
12/09/2024;08:00:00;10:00:00;Math-Signal1 ;A6;1ATDB;COURSIMAULT DAVID 
09/10/2024;08:00:00;10:00:00;Archi-Sys1 ;A5bis;1ATDA; JACQUET JEAN-PAUL 
02/12/2024;09:00:00;10:00:00;RLAN1 ;A5-A5bis;1A; FREITAS ANTONIO 
25/11/2024;09:00:00;11:00:00;Init-Rés1 ;Salle examen MPC003;1A; FREITAS ANTONIO 
19/12/2024;09:00:00;11:00:00;SAE1.04;B8,B3;1ATDA;  
15/10/2024;06:00:00;08:00:00;Math-Signal1 ;A6;1ATDA;COURSIMAULT DAVID 
03/12/2024;12:30:00;15:30:00;Telecom1 ;C1;1ATP4; CAPALLERA FLORENCE 
04/11/2024;12:30:00;14:30:00;Prog1 ;C5;1ATP3; ZAYENE MARIEM 
25/10/2024;07:00:00;10:00:00;Elec1 ;B1bis;1ATP1; CAPALLERA FLORENCE 
13/09/2024;11:30:00;13:30:00;Math-Signal1 ;A5;1ATDA;COURSIMAULT DAVID 
18/11/2024;09:00:00;11:00:00;Math-Signal1 ;Salle examen MPC003;1A;COURSIMAULT DAVID 
17/10/2024;11:30:00;13:30:00;SAE1.02;B3;1ATDB; FREITAS ANTONIO 
25/11/2024;14:30:00;16:30:00;Math-Trans1 ;A5;1ATDA;COURSIMAULT DAVID 
20/12/2024;09:00:00;11:00:00;Math-Trans1 ;A5bis;1ATDB;COURSIMAULT DAVID 
09/12/2024;10:00:00;11:00:00;RLAN1 ;A5-A5bis;1A; FREITAS ANTONIO 
20/11/2024;12:30:00;14:30:00;Gest_projet ;B7;1ATDA; MAYET KARINE 
12/12/2024;07:00:00;09:00:00;Anglais1 ;B2;1ATP2; BEIGNON D AGOSTINO LAURE 
23/10/2024;06:00:00;08:00:00;Archi-Sys1 ;Salle examen MPC003;1A; JACQUET JEAN-PAUL 
11/09/2024;11:30:00;13:30:00;Telecom1 ;A5;1ATDA; CAPALLERA FLORENCE 
07/10/2024;13:30:00;15:30:00;SAE1.01;B7;1ATDA; GIRAUD NADINE 
07/11/2024;07:00:00;09:00:00;Web1 ;B3;1ATDB; MEISSONNIER HUGO 
18/10/2024;08:00:00;10:00:00;SAE1.03;B4,B1bis;1ATDA;  
03/10/2024;06:00:00;08:00:00;SAE1.02;C7;1ATP2; ZAYENE MARIEM 
11/12/2024;14:30:00;16:30:00;Gest_projet ;A5;1ATDB; MAYET KARINE 
05/11/2024;14:30:00;16:30:00;Anglais1 ;B2;1ATP3; BEIGNON D AGOSTINO LAURE 
